start	end	text
246620	253280	How do we draw the line between a brilliant system of thought and a totally unconstrained imagination that just happens to be internally consistent?
253780	259620	That very tension became the foundation for Kant's masterpiece, the critique of pure reason.
259620	266660	Where he set out to define the exact conditions a claim has to meet before it can be considered objective knowledge.
266860	267360	Exactly.
267680	270140	And it is a brilliant starting point for us today.
270840	276900	The mission of this deep dive into the source material is to trace the evolution of artificial intelligence,
277680	285120	specifically through the lens of a freshly published comprehensive paper titled A History of Machine Learning.
285260	286520	It's such a great paper.
286700	287320	It really is.
287320	292480	And we are not going to give you a dry timeline of dates, names, and acronyms.
292600	293520	You know, you can get that anywhere.
294220	304380	Our mission is to move past the surface-level history and understand the actual physical, mathematical, and architectural bottlenecks that defined every single era of AI.
304380	313420	Because that 250-year-old question Kant asked, you know, when does a coherent system become real knowledge, that is the exact tension driving this entire history.
313560	314900	It's the eternal tug of war.
314900	324900	Yeah, it's the fight between unconstrained expressiveness, like the ability of a machine to generate incredibly rich, fluent output, and the need for external grounding.
325060	327300	The ability to verify that output against reality.
327680	328200	Exactly.
328620	334160	And every major architecture we are going to explore today sits somewhere on that spectrum.
334160	339660	So we will look at early systems that failed because they were too tightly constrained.
339900	340220	Right.
340360	345100	Too tethered to rigid rules to ever say anything new or handle the messiness of reality.
345100	350220	And then we will look at modern systems that fail in the exact same way Swedenborg did.
350840	362180	Systems capable of generating almost anything, incredibly fluent and richly detailed, but completely lacking a reliable external check on whether the thing they're generating is actually true.
362440	363580	It's a fascinating arc.
363580	378420	So whether you are trying to make sense of the dizzying pace of today's AI headlines, or you are just inherently curious about how machines are engineered to, quote unquote, think, understanding this foundational pension will give you the underlying why behind the technology.
378860	381340	We are getting into the real mechanics of how these things work.
381420	382080	We really are.
382240	388980	We are going to unpack the mechanics of these systems so you can navigate this topic without ever feeling bogged down in information overload.
388980	395220	So to start, we have to look at how early computer scientists reacted to the fear of unconstrained imagination.
395740	395860	Right.
396280	408620	Because if the Swedenborgian hallucination is the nightmare scenario, you know, a machine that invents plausible sounding nonsense, the most logical first step is to swing to the absolute opposite extreme.
409060	412160	You build a system with strict, unbending rules.
412560	413220	Pure logic.
413400	415420	No guessing, no statistics, no maybe.
415420	418940	Just pure, exact, verifiable logic.
419980	429260	This brings us to the era of symbolic AI, which really dominated the landscape and hit its commercial peak in the 1980s with what were called expert systems.
429560	432460	And the premise behind expert systems was incredibly intuitive.
432780	436540	The thinking at the time was basically intelligence is just applied knowledge.
436700	437340	Okay, that makes sense.
437400	437600	Yeah.
437820	445280	If you want a machine to be intelligent in a specific domain, you just need to extract the rules of that domain from a human and write them down in code.
445280	446800	So they would take a software engineer.
446960	447060	Right.
447140	448860	I think they called them knowledge engineers back then.
448980	450440	Yes, knowledge engineers.
450620	455020	You take one of them and you sit them down with a domain expert, like a highly experienced doctor.
455720	464920	The engineer interviews the doctor for months, just extracting their diagnostic process and translating it into thousands of explicit if-then rules.
464920	468920	The classic example that always gets brought up in the sources is MYCIN.
469560	475920	It was a system built at Stanford in the 1970s to recommend treatments for severe bacterial infections, like meningitis.
476640	477920	A very high-stakes domain.
478580	478920	Absolutely.
478920	484060	You would feed it the patient's lab results, and it would churn through its database of rules.
484060	494760	It would be like if the organism is gram-positive and the morphology is caucus and the growth confirmation is in clumps, well, then there's suggestive evidence that the organism is staphylococcus.
494760	499540	It just chained these rules together to spit out a recommended antibiotic protocol.
499800	501380	And the appeal of this is obvious, right?
501440	503120	It was completely transparent.
503440	510560	If you asked MYCIN why it recommended penicillin, it could print out the exact chain of logical rules it used to arrive at that conclusion.
510980	512380	It was the anti-hallucinator.
512380	513020	Exactly.
513440	515540	It was a completely deterministic system.
516160	523640	And the history paper gives us a beautiful miniature example of how this kind of exact symbolic reasoning worked under the hood.
523880	524880	The non-sequitur script, right?
525260	525480	Yeah.
525560	528900	It references a small program called non-sequitur.mac.
529260	533620	This was a script written specifically to verify logical arguments.
533980	541280	You feed it a set of premises and a conclusion, and it tells you mathematically if the conclusion is valid based on the premises.
541280	543620	I found the mechanics of this script fascinating.
543720	544180	Yeah, yeah.
544200	545880	Because it doesn't try to be clever at all.
546160	549080	It basically operates by brute-forcing reality.
549260	549880	It really does.
549960	553300	Let's say you give it a classic logical argument, like modus ponens.
553520	554280	Okay, give me an example.
554440	557120	The premise is, if it is raining, then the street is wet.
557240	558900	The second premise is, it is raining.
559180	562300	And the conclusion is, therefore, the street is wet.
562580	563540	Seems simple enough.
563660	566960	So the script analyzes that argument by collecting all the variables.
567260	569660	In this case, it is raining and the street is wet.
569660	571120	Let's call them P and Q.
571280	573760	Then, it constructs a truth table.
574200	575400	Like checking true and false.
575880	576360	Exactly.
576960	582480	It systematically checks every single possible combination of those variables being true or false.
582840	584560	Is P true and Q false?
584940	586660	Is P false and Q true?
587020	590220	It exhaustively searches the space of possibilities.
590500	590800	Got it.
590880	596180	When it checks our raining example, it finds that in every single universe where the premises are true,
596180	598420	the conclusion is also true.
598620	601320	It mathematically proves the argument is valid.
601320	604380	And if you give it a logical fallacy, it catches it instantly.
604700	604860	Yeah.
605060	607000	Take the fallacy of affirming the consequent.
607340	609500	Like, if it is raining, the street is wet.
609800	611780	The street is wet, therefore it is raining.
611920	612140	Right.
612200	612880	A classic flaw.
613200	616460	The script runs the combinations and spots the flaw immediately.
616940	619900	It finds a universe where the premises are technically true.
620140	622680	Like maybe a street sweeper just sprayed the road with water.
622940	625120	But the conclusion that it is raining is false.
625120	627620	It prints out that exact counterexample.
628080	630380	It is perfect, rigorous verification.
630760	633640	Well, within its closed formal system, yes, it is perfect.
633880	639560	But the paper points out that this dream of pure, flawless logic hits two catastrophic bottlenecks
639560	642440	that eventually killed the entire paradigm of expert systems.
642760	645140	And the first one is a hard physical limit, right?
645780	646760	Combinatorial explosion.
647060	652440	Let's break that down because I feel like humans are notoriously bad at grasping exponential growth.
652500	653120	We really are.
653120	655980	We just assume that if a process works for a small problem,
656120	659320	we can just buy a faster computer to make it work for a big problem.
659460	662060	But combinatorial logic scales exponentially.
662380	663040	It goes off a cliff.
663200	663480	Yeah.
664400	669200	Think back to that exhaustive truth table checking every combination of true and false.
669680	675480	If your medical argument has just 10 variables, like 10 symptoms or lab results,
675800	679140	there are 2 to the power of 10 possible combinations.
679400	681760	Which is 1,024 combinations.
681940	682200	Right.
682200	685420	And a computer from the 1980s can check that in a fraction of a second.
686000	690060	If you double the variables to 20, you are looking at over a million combinations.
690380	692160	Still relatively fast for a machine.
692300	697780	But if you go to 40 variables, just 40 distinct symptoms or test results in a patient's chart.
698680	701500	2 to the power of 40 is over a trillion combinations.
701860	702060	Yeah.
702060	707620	Every single time you add just one more variable, you completely double the amount of work the computer has to do.
707840	708300	Exactly.
708740	712680	A real world medical diagnostic system doesn't deal with 40 variables.
712860	715960	It deals with hundreds or thousands of interrelated facts.
715960	718500	So exhaustive search is just dead on arrival.
718500	724520	Exhaustively verifying a logical path at that scale isn't just slow, it is computationally impossible.
725180	731620	You could have a computer the size of a galaxy working on it and it wouldn't finish searching that space before the universe undergoes heat death.
731620	733720	That is an insane wall to hit.
734020	739120	It's not that the logic is wrong, it's that the universe literally doesn't have enough time or energy to compute it perfectly.
739340	739820	Exactly.
739820	747900	But even if we had infinite compute, the paper outlines a second bottleneck that is arguably even more fatal to this approach.
748000	749660	The knowledge acquisition bottleneck.
749740	750060	Yes.
750480	754800	Think about the fundamental limitation of MYCIN or any expert system.
755320	762920	The machine knows absolutely nothing outside of what an expensive, highly specialized human expert explicitly wrote down in its code.
763140	766600	It has zero capacity to observe the world and learn something new.
766940	767620	None at all.
767620	778980	If a patient walks into the hospital with a novel combination of symptoms, or even just a slight variation that the engineers didn't anticipate and write a specific rule for, the system doesn't adapt.
779480	780580	It just breaks.
780840	786760	Or worse, it confidently gives the wrong answer because it defaults to an incomplete rule path, right?
786860	788440	It is incredibly brittle.
788600	790320	Brittle is the perfect word for it.
790320	799120	The systems were precise inside their tiny, hand-coated artificial boxes, but completely lined to the messy, dynamic reality outside of them.
799300	801060	And maintaining them must have been a nightmare.
801220	801460	Oh.
801740	813840	To maintain MYCIN, you would need a team of doctors constantly updating thousands of intersecting rules every time a new medical paper was published, just making sure a new rule didn't accidentally contradict an old one.
813840	815680	It became a software engineering nightmare.
815680	824320	And there is a specific detail in the paper about that non-sequitur script, the one built to demonstrate flawless logic, that really highlights the irony of all this.
824420	829560	The author notes that the very first version of this script actually had a silent bug in its control flow.
829740	831420	It's a remarkably telling anecdote.
831420	843420	The programmer wrote a loop that was supposed to scan through all those truth table combinations, and if it found a single counterexample, it was supposed to immediately stop, print the flaw, and exit the program.
843420	853420	But because of a quirk in the syntax of the programming language they were using, there was a fallback statement at the end of the code block that essentially overrode that early exit.
853700	854020	Right.
854020	868980	So the program would successfully find the logical fallacy, it would print out the counterexample perfectly, but instead of stopping, it would silently drop down to the final line of code and print out, result valid, completely contradicting the counterexample it just found.
869260	873960	Okay, let's unpack this, because I am trying to wrap my head around the philosophical implications of that.
874300	878420	Doesn't this completely shatter the illusion of the perfectly logical machine?
878560	879620	It really does.
879620	889960	If the theoretical logic is flawless, but the human who typed the software made a tiny syntax error, haven't we just taken the trust problem and shifted it slightly to the left?
890380	895720	We aren't trusting the machine's logic, we're just blindly trusting the flawed human programmer.
896000	898580	You're touching on a fundamental limitation of computing there.
898860	903480	Exact symbolic reasoning guarantees the validity of the formal system in the abstract.
903760	907280	Like, it guarantees that modus ponens is a mathematically sound structure.
907280	914800	Yes, but it provides absolutely no guarantee about the physical machine or the human-written software executing that reasoning.
915300	924940	You can never perfectly ground a system in pure logic, because the mechanism executing the logic is always subject to physical corruption, bugs, and human error.
924940	932380	So, by the late 1980s, the AI community is looking at these massive, expensive, brittle, expert systems.
933020	943960	The funding starts to dry up because they aren't delivering on their promises, largely due to that combinatorial explosion and the sheer impossibility of handwriting every rule of human intelligence.
944120	945200	Right, the AI winter.
945200	948820	Yeah, the field realizes they have to find a completely different path.
949220	955700	If humans can't possibly handwrite every rule, well, the only solution is to build a machine that can look at the world and find the rules itself.
955960	958860	We have to move from writing rules to learning rules.
959620	967160	And to understand how that happened, we actually need to rewind the clock back to 1958 to a researcher named Frank Rosenblatt.
967380	968100	The Perceptron.
968300	968720	Exactly.
969180	972980	He proposed a radically different architecture that he called the Perceptron.
972980	979540	And the Perceptron is essentially the great-grandfather of every neural network powering today's AI.
980200	982620	But conceptually, it's quite simple, right?
983080	986040	Paint a picture of how this thing actually worked mathematically.
986320	991600	Imagine you are trying to teach a machine to classify images as either squares or circles.
992160	997940	Instead of writing a rule like if it has four sharp corners, it's a square, you create a mathematical structure.
998500	1002000	You have inputs, let's say they are the pixels of an image represented as numbers.
1002000	1003040	Okay, raw data.
1003380	1006180	The Perceptron assigns a specific weight to each input.
1006680	1008260	A weight is basically just a multiplier.
1008540	1015260	It multiplies each pixel value by its corresponding weight, adds all those numbers up together, and then adds a final baseline number called a bias.
1015500	1018020	So it's literally just a giant addition problem.
1018280	1021080	Input times weight plus input times weight plus bias.
1021420	1021880	Exactly.
1021880	1024520	Then, it looks at the final sum.
1025180	1029720	If the total is a positive number, the Perceptron fires and says, it's a square.
1030020	1034380	If the total is a negative number, it stays silent and says, it's a circle.
1034640	1039200	Okay, but at the very beginning, when you first turn it on, those weights are just random numbers, right?
1039260	1042000	So it's going to guess completely wrong.
1042460	1044000	Where does the actual learning happen?
1044000	1047360	The brilliance of Rosenblatt was the learning algorithm itself.
1047820	1050260	You feed the Perceptron an image of a square.
1050680	1052480	Let's say it randomly guesses a circle.
1052640	1053360	It made an error.
1053600	1053820	Right.
1054320	1057940	The algorithm then steps in and compares the guess to the correct answer.
1058200	1062160	It mathematically calculates the difference, and then it goes back through the network,
1062640	1066820	slightly nudging every single weight in the direction that would have made the correct answer more likely.
1067080	1068440	It tweaks the dials.
1068440	1069580	So that you show it a circle.
1069820	1072740	It guesses, makes an error, and tweaks the dials again.
1072740	1075860	It's trial and error, but formalized into calculus.
1076880	1081260	And Rosenblatt proved a highly significant mathematical theorem about this.
1081780	1085840	He proved that if a data set can be separated by a single straight line,
1086080	1091700	meaning if you can plot squares and circles on a graph and draw one single line that perfectly divides them,
1092100	1095800	the Perceptron's learning rule is guaranteed to eventually find that line.
1095940	1097060	It just hones in on it.
1097180	1100200	It might take a hundred tries, it might take a million, but it will find it.
1100200	1103940	The paper actually shows it tackling the logical AND function.
1104440	1105500	The AND function is simple.
1105900	1109900	It only outputs true if both input A and input B are true.
1110140	1112860	If one is false or both are false, it outputs false.
1113020	1114120	Very basic logic.
1114220	1114380	Yeah.
1114720	1117700	The author runs the Perceptron code on those four simple examples.
1118080	1123220	It only takes six passes, like six apex of looking at the data, and boom, it finds the perfect weight.
1123300	1125520	Nobody had to code the logical rule for AND.
1125520	1126000	Right.
1126460	1129000	The machine observed the data and derived the rule itself.
1129340	1132500	When you see that work for the first time, it feels like absolute magic.
1132660	1134400	It feels like the machine is truly thinking.
1135200	1138580	But what happens when you ask it to learn the XOR function?
1138920	1141020	This is where the dream crashes into reality.
1141800	1143800	XOR stands for exclusive ORR.
1144200	1149040	The rule is output true only when the two inputs are different from each other.
1149040	1152520	Okay, so if A is true and B is false, output true.
1152700	1152980	Yes.
1153220	1156220	But if both are true or both are false, output false.
1156400	1159380	It's essentially the rule for a two-way light switch in a hallway.
1160020	1161440	That's a great analogy, actually.
1161520	1167720	Now, if you run the exact same Perceptron code on the four examples of the XOR function, it breaks down completely.
1167940	1171380	It runs for 20 epochs, 2,000 epochs, 20,000 epochs.
1171440	1172380	It just spins its wheels.
1172620	1175900	The accuracy just fluctuates wildly around 50%, right?
1176000	1177040	It never learns the rule.
1177040	1178560	I am trying to picture why.
1178680	1179900	I mean, is there a flaw in the code?
1179980	1181140	Is the learning algorithm broken?
1181340	1183180	It is not a software bug at all.
1183300	1187520	It is a fundamental mathematical wall called a representational ceiling.
1188520	1196120	In 1969, two heavyweights of the field, Marvin Minsky and Seymour Papert, published a book titled Perceptrons.
1196840	1202040	In it, they delivered this devastating geometric proof of why the Perceptron failed at XOR.
1202040	1204880	Walk us through that geometry because it's fascinating.
1204880	1208520	Imagine a standard 2D graph, an x- and y-axis.
1209240	1212040	You plot the four scenarios of the XOR function.
1212940	1219280	The two scenarios that should output true are located at opposite corners of a square, say, the top left and bottom right.
1219420	1219660	Okay.
1219840	1220280	Picture that.
1220280	1226160	The two scenarios that should output false are at the other two opposite corners, top right and bottom left.
1226160	1236940	Now, take a ruler and try to draw a single perfectly straight line across that graph that puts both the true corners on one side of the line and both the false corners on the other side.
1237080	1238100	You literally can't.
1238360	1240500	If you angle it one way, you split the trues.
1240880	1243020	If you angle it another way, you split the falses.
1243380	1247560	It is physically impossible to divide those points with one straight line.
1247560	1248160	Exactly.
1248380	1252000	And remember, the core limitation of a single layer Perceptron.
1252640	1255100	Mathematically, all it can do is draw straight lines.
1255320	1257120	It is an inherently linear model.
1257600	1260300	So it's not that the learning algorithm failed to do its job.
1260460	1267180	It's that the rule it was desperately searching for simply did not exist in the vocabulary the Perceptron was capable of expressing.
1267180	1270440	The architecture physically couldn't hold the shape of the answer?
1270840	1271100	Yes.
1271780	1281400	No amount of extra training data and no amount of supercomputing power will allow a system to learn a boundary it cannot mathematically represent.
1282160	1285600	Learnability, like the ability to adjust weights, is one thing.
1286040	1289060	But representational capacity is a separate hard ceiling.
1289220	1292300	And the fallout from Minsky and Pervert's book was monumental.
1292940	1295460	This wasn't just some quiet academic debate in a journal.
1295460	1304340	When you prove mathematically that the most promising architecture in AI literally cannot learn something as simple as a hallway light switch, the money disappears.
1304540	1305440	It vanished overnight.
1305980	1311800	These technical ceilings triggered funding collapses that the industry still refers to as the AI winters.
1312360	1315080	The history paper details how these winters usually happened.
1315260	1320440	It's always a pattern of massive, ambitious promises colliding with predictable technical bottlenecks.
1320720	1324600	The first major winter kicked off in 1966 with the ALPAC report.
1324600	1325900	Oh, the machine translation one.
1326120	1326360	Right.
1326840	1336700	For a decade, the U.S. government had poured millions into machine translation, largely driven by the Cold War desire to automatically translate Russian intercepts.
1337080	1341880	But they treated language like a simple cryptography problem, substituting one word for another.
1341880	1346520	They hit a representational wall regarding semantic ambiguity, right?
1346700	1346840	Yeah.
1346860	1352740	Like a machine couldn't tell if the word bank meant a river or a financial institution without broader context.
1352820	1353140	Exactly.
1353500	1357880	So the ALPAC report concluded the field was failing and funding was completely gutted.
1358040	1365000	Then you had the Light Hill report in the U.K. in 1973, which basically killed British AI research for a decade.
1365000	1374600	Light Hill explicitly pointed to the combinatorial explosion we discussed earlier, the reality that these systems couldn't scale beyond toy problems as a fundamental barrier.
1374780	1378420	And the irony of that specific era, the mid-1970s, is almost tragic.
1378640	1379940	The timing is just incredible.
1380300	1387880	Right at the exact moment, DARPA and the British government are pulling the plug, largely because Minsky and Papert had proven that single-layer networks were dead ends.
1388340	1391960	A Harvard student named Paul Warbos was publishing his doctoral thesis.
1392140	1392980	And what was in that thesis?
1392980	1403420	The exact mathematical technique needed to train neural networks with multiple layers, a technique that allowed networks to bend those straight lines and completely bypass the XOR ceiling.
1403600	1404180	No way.
1404320	1413880	Yeah, but because the entire field's funding, prestige, and attention had collapsed into a winter, that thesis essentially sat unread on a library shelf for a decade.
1414660	1417700	The solution to the bottleneck was discovered right as everyone walked away.
1417700	1423700	It just proves that funding cycles and actual technical progress do not always move in lockstep.
1424980	1432540	So let's fast forward a decade to the mid-1980s, when the field finally dusts off Warbos' ideas and realizes what they have.
1432860	1435140	We are entering the era of hidden layers.
1435560	1435920	Finally.
1436300	1444200	When this technique, which became known as backpropagation, was popularized, it proved that neural networks actually could solve complex non-linear problems like XOR.
1444200	1447100	But why was it so hard to figure out in the first place?
1447320	1452140	I mean, if you can train one layer, why couldn't they just stack another layer on top and train it the exact same way?
1452380	1458380	To understand why it's difficult, you have to look at what stacking layers actually does to the learning process.
1458380	1468440	If you add a hidden layer of neurons situated directly between your input data and your final output, you suddenly create a massive ambiguity problem.
1468620	1475480	Because with a single layer, like Rosenblatt's perceptron, if the output is wrong, you know exactly who to blame.
1475860	1479420	You just look at the weights connected directly to the output and adjust them.
1479420	1486580	Right. But with a hidden layer, nobody tells those intermediate hidden neurons what their specific output should have been.
1487000	1490880	You only know that the final end-of-the-line answer is wrong.
1491080	1492320	So you don't know who messed up.
1492420	1501740	Exactly. If a network with three hidden layers outputs the wrong answer, how do you know which specific neuron in the first layer was responsible for the mistake?
1501940	1505040	How do you distribute the blame backward into the depths of the network?
1505040	1509620	I really love the analogy the paper uses for this. It calls it the credit assignment problem.
1509760	1515420	It's like a massive corporate hierarchy trying to figure out whose fault a disastrous product launch was.
1515500	1516660	It's exactly like that.
1516860	1526400	The CEO at the output layer knows the product failed, but does he blame the marketing department, the engineering team, or the raw material supplier in layer one?
1527460	1533460	Backpropagation solves that corporate blame game using a concept from calculus called the chain rule.
1533460	1538320	Okay. Unpack the chain rule for those of us who haven't taken a calculus class in 20 years.
1538620	1540660	How does it actually work in this context?
1541060	1544480	Think of it like tracing a defect on a factory assembly line.
1544860	1547540	The final product comes off the line with a dent in it.
1547780	1552640	You want to know how much to adjust the very first machine in the line to fix it.
1552780	1553620	Okay. Makes sense.
1553620	1559700	The chain rule says, figure out how much the final product's dent changes based on the machine immediately before it.
1560020	1563820	Then, figure out how much that machine changes based on the machine before it.
1564140	1568620	You calculate these rates of change, these derivatives, step by step, moving backward.
1568840	1569020	Got it.
1569160	1576240	When you multiply all those individual rates of change together, you get the exact amount you need to turn the dial on the very first machine.
1576240	1582680	You are literally chaining the blame backward, mathematically linking cause and effect through every single layer.
1583020	1587200	And when researchers finally applied this to the XOR problem, it worked.
1587620	1588100	Flawlessly.
1588420	1592440	The paper shows a graph of the error rate during training, and it's fascinating.
1592720	1595820	For hundreds of epics, the error line is totally flat.
1596100	1602340	It looks like the network is failing, just like the old perceptron, and then suddenly the error rate completely collapses to zero.
1602680	1604300	It solves XOR perfectly.
1604300	1611780	The real mystery is what the network is actually doing during those hundreds of quiet epochs where it seems like nothing is happening.
1611980	1613840	It isn't just trying to fit a stubborn line.
1614320	1621140	The hidden layer is actually translating the raw inputs into a completely new internal mathematical representation.
1621400	1622960	It's changing the shape of the data.
1623140	1623480	Yes.
1624080	1628060	Think back to our 2D graph with the true and false corners of the XOR problem.
1628460	1631980	The hidden layer essentially grabs that 2D space and warps it.
1631980	1638560	It folds the space over itself so that both the true corners end up sitting on one side and the false corners sit on the other.
1638720	1640540	So it forces a straight line to work.
1640860	1641340	Exactly.
1641860	1647140	It translates the data into a new mathematical dimension where the problem can be solved by a single straight line.
1647780	1652060	The network discovers a representation that the human programmer didn't hand to it.
1652060	1654680	It completely breaks the representational ceiling.
1655340	1664880	But despite this monumental theoretical breakthrough, the history paper notes that the AI field didn't immediately launch into the deep learning revolution we have today.
1664960	1666020	There was still a long way to go.
1666020	1666500	Yeah.
1666640	1670440	Throughout the 1990s and 2000s, neural networks were actually somewhat sidelined.
1670860	1676840	The dominant paradigm shifted away from both logic and neural architecture and pivoted heavily toward probability.
1677520	1679560	We entered the era of statistical learning.
1680200	1685280	We moved away from the rigid certainty of expert systems and finally allowed machines to say the word.
1685600	1685880	Probably.
1685880	1693760	And this pivot was deeply necessary because real-world problems are rarely as clean as a logical truth table or a perfectly defined XOR graph.
1694120	1695980	The physical world is messy and noisy.
1696400	1699900	Think about a practical application like building a spam filter for email.
1700520	1705760	If you try to use the old 1980s expert system approach, you might write a rigid rule like,
1706120	1709960	if the email contains the word free, it is classified as spam.
1709960	1715780	But the moment you deploy that rule, it misclassifies a perfectly legitimate email from a colleague asking,
1716380	1717940	are you free for a meeting tomorrow?
1718460	1718540	Right.
1718700	1721800	The rigid logic just shatters against the ambiguity of language.
1722160	1727520	You need a system that can weigh evidence, handle nuance, and calculate the likelihood of something being true.
1728120	1732180	The classic foundational solution to this is the naive Bayes classifier.
1732720	1735180	It is a wonderfully simple statistical tool.
1735380	1736920	It doesn't try to understand the meaning of the email.
1737000	1738520	It basically just counts words.
1738680	1739740	Just a big tally sheet.
1739740	1740180	Exactly.
1740500	1744780	During training, you feed it thousands of emails already labeled as spam or normal.
1745420	1751260	The algorithm notes that the word free shows up in 80% of spam emails, but only 5% of normal emails.
1751460	1757620	Then, when a brand new unseen email arrives, the algorithm looks at every single word in it.
1758240	1762180	It grabs the statistical probabilities for each word from its tally sheet,
1762660	1766740	multiplies them all together using Bayes' theorem, and calculates two final scores.
1766740	1772060	The probability that the whole email is spam versus the probability it is normal.
1772060	1774900	And whichever score is higher, it goes with that category.
1774900	1781560	The paper actually provides a toy example where a naive Bayes system correctly classifies our tricky phase,
1781840	1784060	free meeting tomorrow, as a legitimate email.
1784340	1788660	But if you look closely at the math the system outputs, it barely squeaks by.
1788780	1790000	It's not totally confident.
1790220	1790460	Right.
1790460	1794380	The system mathematically recognizes that the phrase is highly ambiguous.
1794780	1797300	It isn't spitting out a binary true or false.
1797500	1799900	It's expressing a quantifiable uncertainty.
1799900	1805880	But there is a very dangerous mathematical trap hidden inside this simple counting method,
1806140	1807920	something called the zero frequency problem.
1808060	1809120	Oh yeah, this is wild.
1809480	1810780	Explain how this breaks the system.
1811100	1817660	Well, remember that naive Bayes calculates its final score by multiplying the probabilities of every word together.
1818180	1822860	What happens if a brand new email contains a word, let's say the word prize,
1822860	1827380	and that specific word only ever appeared in your spam training data.
1828080	1830180	It never once appeared in your normal training data.
1830520	1835340	So the tally sheet for the normal category has a hard zero next to the word prize.
1835500	1835840	Exactly.
1836300	1841800	And because it's multiplication, if you multiply a long chain of probabilities by zero,
1841960	1844640	the entire final score instantly becomes zero.
1845400	1850400	Even if the rest of the email contains overwhelming evidence that it's a normal message from your boss,
1850400	1853900	that one unseen word acts like a mathematical black hole.
1854420	1855580	It just wipes out everything else.
1855660	1860200	Yeah, it forces the system to declare that there is a 0% chance this is a normal email.
1860480	1863740	The paper actually shows a snippet of code crashing because of this.
1864660	1869200	Since modern systems use logarithms to handle these tiny fractions and avoid underflow errors,
